Date,DAU
05/02/2024,28646
06/02/2024,19765
07/02/2024,21067
08/02/2024,17111
09/02/2024,15901
10/02/2024,26259
11/02/2024,30011
12/02/2024,26296
13/02/2024,34296
14/02/2024,27149
15/02/2024,25963
16/02/2024,24682
17/02/2024,41614
18/02/2024,36621
19/02/2024,26040
20/02/2024,21812
21/02/2024,20651
22/02/2024,20429
23/02/2024,22535
24/02/2024,32329
25/02/2024,31422
26/02/2024,24533
27/02/2024,25022
28/02/2024,24824
29/02/2024,31853
01/03/2024,26208
02/03/2024,25393
03/03/2024,24930
04/03/2024,16875
05/03/2024,16776
06/03/2024,19444
07/03/2024,31955
08/03/2024,24269
09/03/2024,27848
10/03/2024,25397
11/03/2024,28564
12/03/2024,27875
13/03/2024,20749
14/03/2024,32106
15/03/2024,35607
16/03/2024,39381
17/03/2024,39370
18/03/2024,38309
19/03/2024,34064
20/03/2024,37255
21/03/2024,43862
22/03/2024,36455
23/03/2024,40212
24/03/2024,47632
25/03/2024,37137
26/03/2024,33433
27/03/2024,41005
28/03/2024,38640
29/03/2024,38316
30/03/2024,38843
31/03/2024,53419
01/04/2024,41769
02/04/2024,42816
03/04/2024,50938
04/04/2024,53082
05/04/2024,53773
