Date,DAU
09/02/2024,1314
10/02/2024,1133
11/02/2024,1329
12/02/2024,1350
13/02/2024,1746
14/02/2024,1515
15/02/2024,1461
16/02/2024,1553
17/02/2024,1929
18/02/2024,1878
19/02/2024,1844
20/02/2024,1495
21/02/2024,1552
22/02/2024,1654
23/02/2024,1327
24/02/2024,1177
25/02/2024,1467
26/02/2024,1204
27/02/2024,1139
28/02/2024,1859
29/02/2024,1098
01/03/2024,665
02/03/2024,938
03/03/2024,1125
04/03/2024,744
05/03/2024,2145
06/03/2024,1327
07/03/2024,1115
08/03/2024,1001
09/03/2024,1030
10/03/2024,950
11/03/2024,881
12/03/2024,1499
13/03/2024,1293
14/03/2024,1318
15/03/2024,964
16/03/2024,813
17/03/2024,746
18/03/2024,796
19/03/2024,753
20/03/2024,1053
21/03/2024,1205
22/03/2024,909
23/03/2024,709
24/03/2024,886
25/03/2024,946
26/03/2024,926
27/03/2024,922
28/03/2024,942
29/03/2024,940
30/03/2024,1200
31/03/2024,929
01/04/2024,1366
02/04/2024,971
03/04/2024,1148
04/04/2024,948
05/04/2024,1410
06/04/2024,1276
07/04/2024,1091
08/04/2024,1176
09/04/2024,1169
