Date,DAU
08/04/2024,4094
09/04/2024,4244
10/04/2024,4917
11/04/2024,7503
12/04/2024,7216
13/04/2024,6850
14/04/2024,6779
15/04/2024,7026
16/04/2024,7278
17/04/2024,7236
18/04/2024,7306
19/04/2024,7334
20/04/2024,7050
21/04/2024,7334
22/04/2024,7385
23/04/2024,7170
24/04/2024,6978
25/04/2024,6801
26/04/2024,6939
27/04/2024,6811
28/04/2024,6858
29/04/2024,6617
30/04/2024,6769
01/05/2024,6627
02/05/2024,7005
03/05/2024,6888
04/05/2024,7045
05/05/2024,6745
06/05/2024,6847
07/05/2024,6822
08/05/2024,9543
09/05/2024,11087
10/05/2024,10000
11/05/2024,9442
12/05/2024,10364
13/05/2024,10888
14/05/2024,10821
15/05/2024,10675
16/05/2024,10346
17/05/2024,10399
18/05/2024,9967
19/05/2024,10120
20/05/2024,10850
21/05/2024,11130
22/05/2024,11339
23/05/2024,11388
24/05/2024,12191
25/05/2024,11525
26/05/2024,11693
27/05/2024,11913
28/05/2024,12755
29/05/2024,13722
30/05/2024,13429
31/05/2024,13907
01/06/2024,14103
02/06/2024,13990
03/06/2024,14335
04/06/2024,14136
05/06/2024,14516
06/06/2024,14787
07/06/2024,14249
