Date,TVL
21/02/2023,1813604366
22/02/2023,1844943759
23/02/2023,1853953759
24/02/2023,1884278292
25/02/2023,1858088223
26/02/2023,1852503390
27/02/2023,1909645648
28/02/2023,1923992477
01/03/2023,1920854465
02/03/2023,1972190480
03/03/2023,1934840694
04/03/2023,1882875110
05/03/2023,1884139564
06/03/2023,1907029999
07/03/2023,1906414501
08/03/2023,1871780004
09/03/2023,1823341563
10/03/2023,1718708298
11/03/2023,1640086440
12/03/2023,1470145757
13/03/2023,1559201829
14/03/2023,1618620580
15/03/2023,1647156963
16/03/2023,1662089633
17/03/2023,1737568735
18/03/2023,1867332892
19/03/2023,1888357705
20/03/2023,1912586218
21/03/2023,1974995419
22/03/2023,2027731221
23/03/2023,2129358967
24/03/2023,2161478649
25/03/2023,2168944585
26/03/2023,2191587233
27/03/2023,2232357881
28/03/2023,2224570098
29/03/2023,2273951686
30/03/2023,2281053253
31/03/2023,2315180525
01/04/2023,2321574422
02/04/2023,2282127657
03/04/2023,2252006049
04/04/2023,2266859448
05/04/2023,2294628884
06/04/2023,2306765034
07/04/2023,2287452854
08/04/2023,2297705944
09/04/2023,2303044439
10/04/2023,2298745348
11/04/2023,2315615067
12/04/2023,2318718953
13/04/2023,2278046594
14/04/2023,2371334307
15/04/2023,2394557038
16/04/2023,2401893658
17/04/2023,2368361319
18/04/2023,2326717663
19/04/2023,2358046964
20/04/2023,2264104434
21/04/2023,2249783394
22/04/2023,2193917344
