Date,TVL
19/11/2023,18449819.194358453
20/11/2023,18643041.41801484
21/11/2023,18732085.94641846
22/11/2023,18389247.595568202
23/11/2023,18842175.16057883
24/11/2023,18981719.456720963
25/11/2023,19114837.844295364
26/11/2023,19121980.99136246
27/11/2023,19574503.50789161
28/11/2023,18574322.156588003
29/11/2023,19164448.26782748
30/11/2023,24442417.12563478
01/12/2023,25077728.63055601
02/12/2023,25541946.047934882
03/12/2023,26149285.864974525
04/12/2023,26511104.902765647
05/12/2023,26790959.136028334
06/12/2023,27400191.298615612
07/12/2023,27202650.236313567
08/12/2023,27513022.70014902
09/12/2023,27877670.951260466
10/12/2023,27718459.52950996
11/12/2023,27956365.183380935
12/12/2023,27063804.06
13/12/2023,26097194.77346453
14/12/2023,15077916.59280559
15/12/2023,15054455.374060372
16/12/2023,14463296.746945215
17/12/2023,17035290.97029372
18/12/2023,18406785.662437327
19/12/2023,22019944.990908127
20/12/2023,41051685.14881648
21/12/2023,43366029.17102858
22/12/2023,48855109.73193466
23/12/2023,74537361.05517624
24/12/2023,78948502.53493114
25/12/2023,103746109.81055474
26/12/2023,115989361.57685527
27/12/2023,130603247.30437036
28/12/2023,161276822.8757865
29/12/2023,197972894.55136186
30/12/2023,231100996.70192975
31/12/2023,259113863.14866567
01/01/2024,279629565.7114402
02/01/2024,315452803.8836445
03/01/2024,328919386.7270325
04/01/2024,318150296.52688867
05/01/2024,333920696.8922172
06/01/2024,348089977.29429173
07/01/2024,353743284.9926018
08/01/2024,357713069.12744427
09/01/2024,369123097.61943424
10/01/2024,382612069.77021277
11/01/2024,389002009.5212741
12/01/2024,424975700.3
13/01/2024,401107828.3645527
14/01/2024,411780571.0494202
15/01/2024,413758236.1157002
16/01/2024,410064905.48230094
17/01/2024,425228698.25953907
18/01/2024,434348725.2
