Date,TVL
21/01/2024,862421365.3
22/01/2024,856793060
23/01/2024,852280263.9
24/01/2024,862400440
25/01/2024,862915201.8
26/01/2024,861271467.2
27/01/2024,861870680.1
28/01/2024,867434832.5
29/01/2024,856486951.5
30/01/2024,844268082.7
31/01/2024,833075686.4
01/02/2024,835224566.2
02/02/2024,826205521.9
03/02/2024,824693544.6
04/02/2024,811729293.2
05/02/2024,796043043.9
06/02/2024,755702410.5
07/02/2024,730776101.7
08/02/2024,685531769.8
09/02/2024,683081586.5
10/02/2024,683596508.4
11/02/2024,724513383.6
12/02/2024,731769180.3
13/02/2024,723254575.5
14/02/2024,719782375.7
15/02/2024,717752839.2
16/02/2024,717382431.4
17/02/2024,706604856.6
18/02/2024,714299940.1
19/02/2024,703076816.2
20/02/2024,668132718.3
21/02/2024,660239749.5
22/02/2024,659687791.6
23/02/2024,657554182.9
24/02/2024,658078721.5
25/02/2024,655467245.9
26/02/2024,654219376.7
27/02/2024,652036368.9
28/02/2024,643258666.4
29/02/2024,645121373.9
01/03/2024,642590053.9
02/03/2024,623300986.6
03/03/2024,630288414
04/03/2024,634424029.8
05/03/2024,637460605.1
06/03/2024,643072096.4
07/03/2024,636988234.7
08/03/2024,634486969.4
09/03/2024,641510175.8
10/03/2024,648241735.6
11/03/2024,647416523.3
12/03/2024,637187335.9
13/03/2024,647385894.2
14/03/2024,637282203.7
15/03/2024,633005870.2
16/03/2024,634192228
17/03/2024,635855076.9
18/03/2024,638095976.6
19/03/2024,644495759.8
20/03/2024,647781129
21/03/2024,650128313.6
