Date,TVL
09/06/2024,87028670.24
10/06/2024,83696831.74
11/06/2024,79158342.69
12/06/2024,76610171.49
13/06/2024,73269852.44
14/06/2024,63574394.46
15/06/2024,70335280.54
16/06/2024,70335280.54
17/06/2024,70335280.54
18/06/2024,70335280.54
19/06/2024,70335280.54
20/06/2024,70335280.54
21/06/2024,70335280.54
22/06/2024,70335280.54
23/06/2024,70335280.54
24/06/2024,70335280.54
25/06/2024,70335280.54
26/06/2024,70335280.54
27/06/2024,70335280.54
28/06/2024,70335280.54
29/06/2024,70335280.54
30/06/2024,70335280.54
01/07/2024,70335280.54
02/07/2024,70335280.54
03/07/2024,70335280.54
04/07/2024,70335280.54
05/07/2024,70335280.54
06/07/2024,70335280.54
07/07/2024,70335280.54
08/07/2024,70335280.54
09/07/2024,70335280.54
10/07/2024,70335280.54
11/07/2024,70335280.54
12/07/2024,70335280.54
13/07/2024,70335280.54
14/07/2024,70335280.54
15/07/2024,70335280.54
16/07/2024,70335280.54
17/07/2024,70335280.54
18/07/2024,70335280.54
19/07/2024,70335280.54
20/07/2024,70335280.54
21/07/2024,70335280.54
22/07/2024,70335280.54
23/07/2024,70335280.54
24/07/2024,70335280.54
25/07/2024,70335280.54
26/07/2024,70335280.54
27/07/2024,70335280.54
28/07/2024,70335280.54
29/07/2024,70335280.54
30/07/2024,70335280.54
31/07/2024,70335280.54
01/08/2024,70335280.54
02/08/2024,70335280.54
03/08/2024,70335280.54
04/08/2024,70335280.54
05/08/2024,70335280.54
06/08/2024,70335280.54
07/08/2024,70335280.54
08/08/2024,70335280.54
