Date,TVL
21/01/2024,41614605.19
22/01/2024,41782583.81
23/01/2024,40323827.84
24/01/2024,39300841.57
25/01/2024,39440199.39
26/01/2024,39502411.35
27/01/2024,40543015.79
28/01/2024,40680826.37
29/01/2024,40505496.74
30/01/2024,40871016.72
31/01/2024,41483674.07
01/02/2024,40477989.48
02/02/2024,41059738.46
03/02/2024,41392307.57
04/02/2024,41455382.2
05/02/2024,41724056.44
06/02/2024,42212838.32
07/02/2024,43299306.3
08/02/2024,46629360.68
09/02/2024,48237360.34
10/02/2024,50696714.57
11/02/2024,52214800.68
12/02/2024,53413032.8
13/02/2024,56779620.82
14/02/2024,56728883.79
15/02/2024,55504110.52
16/02/2024,54917824.72
17/02/2024,54352297.32
18/02/2024,53958194.76
19/02/2024,54833577.2
20/02/2024,54574487.35
21/02/2024,57961127.52
22/02/2024,58885742.29
23/02/2024,117288824.4
24/02/2024,135486075.5
25/02/2024,148425883.6
26/02/2024,159963782.3
27/02/2024,169048418.5
28/02/2024,168207559.9
29/02/2024,168152987.4
01/03/2024,165157862.2
02/03/2024,171080786
03/03/2024,173401666.8
04/03/2024,175565649.5
05/03/2024,174495704.8
06/03/2024,196782411.4
07/03/2024,215736370.7
08/03/2024,208804197.6
09/03/2024,201914192.3
10/03/2024,209660071.8
11/03/2024,211109686.6
12/03/2024,219812566.3
13/03/2024,212583430
14/03/2024,216027811
15/03/2024,253304240.7
16/03/2024,264347135.9
17/03/2024,255152827.7
18/03/2024,272426114
19/03/2024,271161237.5
20/03/2024,264673275.8
21/03/2024,294021513.3
