Date,TVL
30/01/2024,1153242.241
31/01/2024,1497272.298
01/02/2024,2308624.168
02/02/2024,2359736.99
03/02/2024,2787056.393
04/02/2024,3557823.447
05/02/2024,3843814.461
06/02/2024,3932681.467
07/02/2024,4121886.465
08/02/2024,4146444.286
09/02/2024,4167260.111
10/02/2024,4568381.255
11/02/2024,4449628.87
12/02/2024,6295210.137
13/02/2024,9157270.627
14/02/2024,10639062.82
15/02/2024,17794645.59
16/02/2024,17886301.35
17/02/2024,19337702.02
18/02/2024,21943618.34
19/02/2024,26229661.83
20/02/2024,28403772.51
21/02/2024,32163454.44
22/02/2024,36733534.67
23/02/2024,35282315.98
24/02/2024,36527596.58
25/02/2024,37963733.08
26/02/2024,39899922.89
27/02/2024,37689743.37
28/02/2024,40308253.79
29/02/2024,41664803.11
01/03/2024,40974094.99
02/03/2024,37797435.53
03/03/2024,34212085.26
04/03/2024,32868051.28
05/03/2024,34782103.34
06/03/2024,32974765.84
07/03/2024,32972394.52
08/03/2024,33598709.86
09/03/2024,35517834.67
10/03/2024,31268623.77
11/03/2024,30161606.35
12/03/2024,28926276.33
13/03/2024,24641934.1
14/03/2024,22154985.6
15/03/2024,24859855.75
16/03/2024,23835992.31
17/03/2024,23424512.75
18/03/2024,23526842.26
19/03/2024,23612054.53
20/03/2024,23817605.23
21/03/2024,25263236.6
22/03/2024,24776129.53
23/03/2024,25688240.14
24/03/2024,25579696.83
25/03/2024,24711711.77
26/03/2024,24592884.68
27/03/2024,24208378.64
28/03/2024,23810385.1
29/03/2024,24213431.46
30/03/2024,23607491.97
