Date,TVL
01/04/2024,354185316.5
02/04/2024,344424326.5
03/04/2024,329935356.7
04/04/2024,330644408.9
05/04/2024,325759522.2
06/04/2024,313091162.8
07/04/2024,317415787.3
08/04/2024,319531612.1
09/04/2024,326389486.7
10/04/2024,316114151.3
11/04/2024,317663134.6
12/04/2024,316876102.4
13/04/2024,289810338
14/04/2024,247764070.6
15/04/2024,274677831.1
16/04/2024,263532916.4
17/04/2024,259919998.4
18/04/2024,267182014.7
19/04/2024,299002665.2
20/04/2024,302067639.6
21/04/2024,312188611.9
22/04/2024,308890757.7
23/04/2024,320480577.1
24/04/2024,319562729.9
25/04/2024,306537637
26/04/2024,302680470.9
27/04/2024,292340102.8
28/04/2024,290351265.5
29/04/2024,312281479.1
30/04/2024,297027185.9
01/05/2024,283379160.5
02/05/2024,296707139.8
03/05/2024,307838006.7
04/05/2024,317445292.5
05/05/2024,331701799.3
06/05/2024,327844181.7
07/05/2024,338122010.2
08/05/2024,339977486.6
09/05/2024,318920203.1
10/05/2024,339201851.4
11/05/2024,327345311.7
12/05/2024,324817899.4
13/05/2024,318501306.8
14/05/2024,326901238.8
15/05/2024,315981423.8
16/05/2024,339598532.4
17/05/2024,334423584.8
18/05/2024,357455042
19/05/2024,364048347.2
20/05/2024,358960940.3
21/05/2024,385399256.5
22/05/2024,376024542.9
23/05/2024,382074806
24/05/2024,381205798.9
27/05/2024,368090440.6
28/05/2024,370381608.4
29/05/2024,370592183.6
30/05/2024,377016033.7
31/05/2024,370807027.5
01/06/2024,368774304.2
02/06/2024,369723069.2
