Date,TVL
30/03/2024,13526675295
31/03/2024,13694514131
01/04/2024,14323789429
02/04/2024,13904947520
03/04/2024,13150639096
04/04/2024,13490696214
05/04/2024,13653071231
06/04/2024,13694093503
07/04/2024,13936973728
08/04/2024,14501185640
09/04/2024,15664038408
10/04/2024,15152355509
11/04/2024,15484670067
12/04/2024,15768631711
13/04/2024,14633638329
14/04/2024,13628368811
15/04/2024,14424033833
16/04/2024,14391148690
17/04/2024,14561496029
18/04/2024,14154990700
19/04/2024,14612572264
20/04/2024,14610545782
21/04/2024,15163106861
22/04/2024,15259064750
23/04/2024,14000837263
24/04/2024,15412392359
25/04/2024,15142311376
26/04/2024,15452319792
27/04/2024,15425787691
28/04/2024,15991565167
29/04/2024,16332877434
30/04/2024,15948948438
01/05/2024,15037751145
02/05/2024,14871446715
03/05/2024,14995455892
04/05/2024,15510748189
05/05/2024,15621280841
06/05/2024,15689908302
07/05/2024,15374872308
08/05/2024,15141140947
09/05/2024,14761811400
10/05/2024,14928506807
11/05/2024,14313239902
12/05/2024,14444469745
13/05/2024,14537642948
14/05/2024,14612844747
15/05/2024,14314007251
16/05/2024,14925865294
17/05/2024,14417243676
18/05/2024,15218027027
19/05/2024,15429574065
20/05/2024,15255580166
21/05/2024,17836690357
22/05/2024,18874676540
23/05/2024,18699528036
24/05/2024,18830984788
25/05/2024,18479078061
26/05/2024,18488515779
27/05/2024,19053722425
28/05/2024,19238651234
29/05/2024,19063545236
