Date,TVL
08/04/2024,61243090.87
09/04/2024,64712820.5
10/04/2024,61918123.02
11/04/2024,62300732.6
12/04/2024,61457758.02
13/04/2024,53885963.41
14/04/2024,45567510.71
15/04/2024,47249432.91
16/04/2024,44933739.56
17/04/2024,44828219
18/04/2024,43324956.68
19/04/2024,43381309.28
20/04/2024,44251711.37
21/04/2024,46322792.61
22/04/2024,45638687.53
23/04/2024,45069486.43
24/04/2024,44616383.68
25/04/2024,44411813.05
26/04/2024,44275756.32
27/04/2024,43056714.82
28/04/2024,44909081.32
29/04/2024,46156148.12
30/04/2024,43714007.41
01/05/2024,40888185.67
02/05/2024,44076153.32
03/05/2024,45029462.92
04/05/2024,46374988.12
05/05/2024,46493447.36
06/05/2024,48145978.97
07/05/2024,47869647.28
08/05/2024,46865889.89
09/05/2024,44365751.98
10/05/2024,42842300.48
11/05/2024,42190661.81
12/05/2024,42720503.21
13/05/2024,41973240.23
14/05/2024,41540973.35
15/05/2024,40849634.92
16/05/2024,42165428.6
17/05/2024,41909299.23
18/05/2024,43803953.05
19/05/2024,44257221.95
20/05/2024,43201390.01
21/05/2024,45904753.77
22/05/2024,46437819.66
23/05/2024,46488017.21
24/05/2024,47362281.25
25/05/2024,47678763.86
26/05/2024,48845177.4
27/05/2024,49340327.57
28/05/2024,50835652.11
29/05/2024,50214692.68
30/05/2024,49108182.57
31/05/2024,49233793.22
01/06/2024,45884269.08
02/06/2024,46582546.79
03/06/2024,46511216.87
04/06/2024,46843081.58
05/06/2024,48213926.99
06/06/2024,46525190.72
07/06/2024,46794845.25
