Date,TVL
03/03/2024,671527079.3
04/03/2024,713039676.7
05/03/2024,780138320
06/03/2024,811894906.5
07/03/2024,825784695.6
08/03/2024,829359065.5
09/03/2024,843404329.6
10/03/2024,851419712
11/03/2024,868514588
12/03/2024,900865238.1
13/03/2024,957013666.2
14/03/2024,1000006684
15/03/2024,1057035235
16/03/2024,1079484607
17/03/2024,1100131853
18/03/2024,1113011242
19/03/2024,1148040673
20/03/2024,1175283680
21/03/2024,1197540660
22/03/2024,1225474374
23/03/2024,1273312109
24/03/2024,1284744513
25/03/2024,1303537706
26/03/2024,1325399267
27/03/2024,1343041566
28/03/2024,1370495331
29/03/2024,1399043686
30/03/2024,1506114055
31/03/2024,1532428087
01/04/2024,1538960330
02/04/2024,1558559475
03/04/2024,1782968867
04/04/2024,1972659883
05/04/2024,1996242221
06/04/2024,2011963555
07/04/2024,2045053086
08/04/2024,2067124457
09/04/2024,2202267893
10/04/2024,2277330508
11/04/2024,2326834136
12/04/2024,2361713137
13/04/2024,2388370259
14/04/2024,2388321610
15/04/2024,2361665224
16/04/2024,2366029432
17/04/2024,2357133844
18/04/2024,2366809171
19/04/2024,2367232031
20/04/2024,2364867163
21/04/2024,2364413109
22/04/2024,2361621037
23/04/2024,2372709329
24/04/2024,2371976135
25/04/2024,2367032621
26/04/2024,2365592942
27/04/2024,2355083263
28/04/2024,2348083775
29/04/2024,2348384261
30/04/2024,2355242501
01/05/2024,2337403077
02/05/2024,2310589987
