Date,TVL
17/02/2024,1260811814
18/02/2024,1261333233
19/02/2024,1317219968
20/02/2024,1378512211
21/02/2024,1420033790
22/02/2024,1414633582
23/02/2024,1440199691
24/02/2024,1422319828
25/02/2024,1454687793
26/02/2024,1544512489
27/02/2024,1602521862
28/02/2024,1658777864
29/02/2024,1737904993
01/03/2024,1781234141
02/03/2024,1823331852
03/03/2024,1821122704
04/03/2024,1875908453
05/03/2024,1945641612
06/03/2024,1941017949
07/03/2024,2132366886
08/03/2024,2158752267
09/03/2024,2197139644
10/03/2024,2217162075
11/03/2024,2201917499
12/03/2024,2324808008
13/03/2024,2462545326
14/03/2024,2992906477
15/03/2024,3138024683
16/03/2024,3079943894
17/03/2024,2907922437
18/03/2024,2953080158
19/03/2024,2889461836
20/03/2024,2611030342
21/03/2024,2888493414
22/03/2024,2858336900
23/03/2024,2714352973
24/03/2024,2735641430
25/03/2024,2837926635
26/03/2024,3042534618
27/03/2024,3106477289
28/03/2024,3117151150
29/03/2024,3245080869
30/03/2024,3252866192
31/03/2024,3268337643
01/04/2024,3414057157
02/04/2024,3334054424
03/04/2024,3242386710
04/04/2024,3303986556
05/04/2024,3321404064
06/04/2024,3343359346
07/04/2024,3409700434
08/04/2024,3512132363
09/04/2024,3851362569
10/04/2024,3793750274
11/04/2024,3843421416
12/04/2024,3891549259
13/04/2024,3598507175
14/04/2024,3281547728
15/04/2024,3539215819
16/04/2024,3524815020
17/04/2024,3518701459
