Date,TVL
18/02/2024,58437600.83
19/02/2024,61848677.17
20/02/2024,59785970.67
21/02/2024,58173510.93
22/02/2024,56658877.46
23/02/2024,56005794.85
24/02/2024,53664164.39
25/02/2024,56335283.64
26/02/2024,59036386.49
27/02/2024,60367009.92
28/02/2024,63985853.12
29/02/2024,69072782.8
01/03/2024,64376946.56
02/03/2024,70444866.77
03/03/2024,66286256.87
04/03/2024,62766505.59
05/03/2024,62299408.36
06/03/2024,57345344.23
07/03/2024,58714109.61
08/03/2024,64141016.85
09/03/2024,61909181.11
10/03/2024,60801399.94
11/03/2024,58942504.17
12/03/2024,62243745.17
13/03/2024,74174827.95
14/03/2024,70063967.59
15/03/2024,70536453.3
16/03/2024,66382314.48
17/03/2024,62991425.66
18/03/2024,64275183.18
19/03/2024,58186325.47
20/03/2024,54252440.07
21/03/2024,58689523.69
22/03/2024,56470476.7
23/03/2024,53036324.64
24/03/2024,53838842.26
25/03/2024,55876099.49
26/03/2024,59891317.13
27/03/2024,62144836.84
28/03/2024,60853389.63
29/03/2024,64636997.47
30/03/2024,62389891.92
31/03/2024,61827326.54
01/04/2024,63359093.46
02/04/2024,60087466.71
03/04/2024,58495995.29
04/04/2024,60053513.61
05/04/2024,59207366
06/04/2024,63067639.27
07/04/2024,64848238.43
08/04/2024,65790379.55
09/04/2024,67954477.88
10/04/2024,64055265.67
11/04/2024,63874340.81
12/04/2024,61843719.11
13/04/2024,52195796.16
14/04/2024,43646690.15
15/04/2024,48272388.74
16/04/2024,48594076.9
17/04/2024,50722947.86
18/04/2024,55719096.03
