Date,TVL
05/03/2024,420708096
06/03/2024,409305765
07/03/2024,440003344.1
08/03/2024,557134968.5
09/03/2024,660112536.9
10/03/2024,696603879
11/03/2024,721221878.4
12/03/2024,751045774.7
13/03/2024,766443902.8
14/03/2024,898393411.2
15/03/2024,974767524
16/03/2024,969536010.3
17/03/2024,928607423.4
18/03/2024,1047671430
19/03/2024,1027585954
20/03/2024,917633864.3
21/03/2024,1027364809
22/03/2024,995302594.7
23/03/2024,983221801.5
24/03/2024,1017343090
25/03/2024,1099290631
26/03/2024,1183039770
27/03/2024,1223888264
28/03/2024,1205608317
29/03/2024,1256148905
30/03/2024,1258411556
31/03/2024,1267491072
01/04/2024,1233376781
02/04/2024,1184130005
03/04/2024,1134075008
04/04/2024,1136728703
05/04/2024,1088687633
06/04/2024,1026762252
07/04/2024,1033356240
08/04/2024,1049465292
09/04/2024,1079015035
10/04/2024,1057666670
11/04/2024,1114696785
12/04/2024,1164582568
13/04/2024,985482401
14/04/2024,831972782.3
15/04/2024,974524672.3
16/04/2024,929524575.7
17/04/2024,926071882.7
18/04/2024,920245838.3
19/04/2024,956267863
20/04/2024,994838459.9
21/04/2024,1046719454
22/04/2024,1049141600
23/04/2024,1085457736
24/04/2024,1061801397
25/04/2024,1024321061
26/04/2024,1019198750
27/04/2024,978523551.2
29/04/2024,945246828.8
30/04/2024,957994979.7
01/05/2024,874655879.1
02/05/2024,899080071.8
03/05/2024,938868424.6
04/05/2024,963246274.2
05/05/2024,1000938593
