Date,TVL
27/05/2024,4622164.805
28/05/2024,4536262.546
29/05/2024,4450418.909
30/05/2024,4213996.078
31/05/2024,4137499.46
01/06/2024,4037991.037
02/06/2024,4047845.011
03/06/2024,6039633.163
04/06/2024,5913555.905
05/06/2024,5709688.259
06/06/2024,5590140.67
07/06/2024,5271008.558
08/06/2024,5365616.922
09/06/2024,5195709.39
10/06/2024,5255416.787
11/06/2024,5198087.733
12/06/2024,4824708.559
13/06/2024,4464751.37
14/06/2024,3403311.832
15/06/2024,2812502.113
16/06/2024,2752628.439
17/06/2024,2595750.464
18/06/2024,2116480.721
19/06/2024,2773658.047
20/06/2024,2784958.408
21/06/2024,2787456.998
22/06/2024,2993077.243
23/06/2024,2707033.759
24/06/2024,2031053.823
25/06/2024,1895328.948
26/06/2024,1821409.446
27/06/2024,1543875.999
28/06/2024,1502419.657
29/06/2024,1438328.372
30/06/2024,1653883.269
01/07/2024,1485148.815
02/07/2024,1504876.768
03/07/2024,1344220.717
04/07/2024,1401822.784
05/07/2024,1414742.472
06/07/2024,1483037.746
07/07/2024,1545145.788
08/07/2024,1486578.996
09/07/2024,1502899.018
10/07/2024,1514667.07
11/07/2024,1525530.438
12/07/2024,1526327.748
13/07/2024,1523197.049
14/07/2024,1546485.857
15/07/2024,1585680.821
16/07/2024,1433501.546
17/07/2024,1435533.6
18/07/2024,1407589.897
19/07/2024,1418539.039
20/07/2024,1464516.412
21/07/2024,1473593.087
22/07/2024,1480511.586
23/07/2024,1456528.639
24/07/2024,1345000.412
25/07/2024,1307807.741
26/07/2024,1249001.575
