Date,TVL
17/03/2024,162636415.3
18/03/2024,164161032.2
19/03/2024,166870355.2
20/03/2024,169030634.4
21/03/2024,169955162.3
22/03/2024,170675993.8
23/03/2024,172292329
24/03/2024,175464689.7
25/03/2024,176368304
26/03/2024,178399790.3
27/03/2024,180649649.2
28/03/2024,183726019.7
29/03/2024,185808453.8
30/03/2024,187169742.9
31/03/2024,187227695.7
01/04/2024,187594604
02/04/2024,187589319.8
03/04/2024,186500860.1
04/04/2024,180744345.1
05/04/2024,180203768.8
06/04/2024,180009425.6
07/04/2024,177622824.3
08/04/2024,176307077.1
09/04/2024,175100355.4
10/04/2024,173340419.8
11/04/2024,171105243.6
12/04/2024,152055499.2
13/04/2024,145837588.8
14/04/2024,139977014.6
15/04/2024,130128203
16/04/2024,127028950
17/04/2024,120048491
18/04/2024,91661588.15
19/04/2024,81814414.49
20/04/2024,76420760.18
21/04/2024,72064451.58
22/04/2024,68784881.9
23/04/2024,68930451.05
24/04/2024,65973725.99
25/04/2024,64547156.75
26/04/2024,63854473.52
27/04/2024,62522528.38
28/04/2024,62212239.13
29/04/2024,61343401.58
30/04/2024,60364125.33
01/05/2024,62764264.57
02/05/2024,62474090.55
03/05/2024,61096309.78
04/05/2024,60505978.95
05/05/2024,59563297.94
06/05/2024,60211054
07/05/2024,60421352.64
08/05/2024,60514496.42
09/05/2024,60189454.29
10/05/2024,59931759.49
11/05/2024,59817824.81
12/05/2024,60495812.76
13/05/2024,60486616.96
14/05/2024,60337252.1
15/05/2024,60175072.99
16/05/2024,57800965.35
