Date,TVL
21/03/2024,1210623371
22/03/2024,1285821364
23/03/2024,1277305900
24/03/2024,1345778797
25/03/2024,1426293866
26/03/2024,1556715850
27/03/2024,1721005888
28/03/2024,1799298827
29/03/2024,1898977538
30/03/2024,1951524615
31/03/2024,2082898533
01/04/2024,2248689056
02/04/2024,2234774107
03/04/2024,2202151026
04/04/2024,2322515596
05/04/2024,2387886311
06/04/2024,2461067230
07/04/2024,2521002673
08/04/2024,2651882816
09/04/2024,3001217641
10/04/2024,2960539725
11/04/2024,3053365988
12/04/2024,3149509833
13/04/2024,2949420942
14/04/2024,2666003008
15/04/2024,2933980258
16/04/2024,2969972217
17/04/2024,3015964218
18/04/2024,2976018660
19/04/2024,3084541613
20/04/2024,3130859906
21/04/2024,3220991337
22/04/2024,3245718538
23/04/2024,3325599953
24/04/2024,3373798770
25/04/2024,3155839146
26/04/2024,3249132612
27/04/2024,3238941111
28/04/2024,3334054416
29/04/2024,3429486904
30/04/2024,3306710558
01/05/2024,3090091102
02/05/2024,3046195747
03/05/2024,3098581069
04/05/2024,3222714415
05/05/2024,3216143752
06/05/2024,3237704761
07/05/2024,3201051088
08/05/2024,3144652492
09/05/2024,3068340628
10/05/2024,3118321741
11/05/2024,3006754543
12/05/2024,3011710541
13/05/2024,3024398226
14/05/2024,3048140781
15/05/2024,2984942830
16/05/2024,3120053230
17/05/2024,3026250440
18/05/2024,3193792575
19/05/2024,3221919203
20/05/2024,3193140103
