Date,TVL
04/03/2024,1670100144
05/03/2024,1683222059
06/03/2024,1655480514
07/03/2024,1826518642
08/03/2024,1925231677
09/03/2024,1942073137
10/03/2024,2112183084
11/03/2024,1956234601
12/03/2024,2011503103
13/03/2024,1972719235
14/03/2024,1995898069
15/03/2024,1993053988
16/03/2024,1955997722
17/03/2024,1877649877
18/03/2024,2051295698
19/03/2024,2046049643
20/03/2024,1935072756
21/03/2024,2156743965
22/03/2024,2206541535
23/03/2024,2207326583
24/03/2024,2211560424
25/03/2024,2349654412
26/03/2024,2465193193
27/03/2024,2497081392
28/03/2024,2473471341
29/03/2024,2536310526
30/03/2024,2520322360
31/03/2024,2563526443
01/04/2024,2605420530
02/04/2024,2530403087
03/04/2024,2439065058
04/04/2024,2412212366
05/04/2024,2411037239
06/04/2024,2336971567
07/04/2024,2420863417
08/04/2024,2500095498
09/04/2024,2607022013
10/04/2024,2140421462
11/04/2024,2485892490
12/04/2024,2416637720
13/04/2024,2168715221
14/04/2024,1887283682
15/04/2024,2111315844
16/04/2024,2048169128
17/04/2024,2042897117
18/04/2024,1999712528
19/04/2024,2039038824
20/04/2024,2066905295
21/04/2024,2187149632
22/04/2024,2192153560
23/04/2024,2207661145
24/04/2024,2209618993
25/04/2024,2165358321
26/04/2024,2163193914
27/04/2024,2073082276
28/04/2024,2097316263
29/04/2024,2140100429
30/04/2024,2033442492
01/05/2024,1945396257
02/05/2024,2022215899
03/05/2024,2106198406
