Date,TVL
28/05/2024,110040
29/05/2024,81770
30/05/2024,157470
31/05/2024,34570
01/06/2024,63140
02/06/2024,77910
03/06/2024,62500
04/06/2024,71520
05/06/2024,80320
06/06/2024,65390
07/06/2024,69880
08/06/2024,61230
09/06/2024,59660
10/06/2024,74010
11/06/2024,91180
12/06/2024,86040
13/06/2024,88220
14/06/2024,86100
15/06/2024,69650
16/06/2024,18110
17/06/2024,87600
18/06/2024,116200
19/06/2024,87860
20/06/2024,88790
21/06/2024,82160
22/06/2024,50890
23/06/2024,55580
24/06/2024,105520
25/06/2024,66670
26/06/2024,50310
27/06/2024,50310
28/06/2024,44220
29/06/2024,26950
30/06/2024,18020
01/07/2024,33680
02/07/2024,43020
03/07/2024,67690
04/07/2024,80070
05/07/2024,59430
06/07/2024,11520
07/07/2024,20870
08/07/2024,35350
09/07/2024,21260
10/07/2024,21260
11/07/2024,21260
12/07/2024,21260
13/07/2024,21260
14/07/2024,9830
15/07/2024,9830
16/07/2024,15690
17/07/2024,10730
18/07/2024,10730
19/07/2024,16120
20/07/2024,9690
21/07/2024,14800
22/07/2024,14800
23/07/2024,15820
24/07/2024,10490
25/07/2024,12570
26/07/2024,6710
27/07/2024,11380
