Date,TVL
18/05/2024,813600000
19/05/2024,820420000
20/05/2024,805210000
21/05/2024,934070000
22/05/2024,928060000
23/05/2024,916330000
24/05/2024,897050000
25/05/2024,886910000
26/05/2024,889200000
27/05/2024,828090000
28/05/2024,886200000
29/05/2024,874280000
30/05/2024,866740000
31/05/2024,865650000
01/06/2024,858910000
02/06/2024,865280000
03/06/2024,856330000
04/06/2024,854230000
05/06/2024,882240000
06/06/2024,891200000
07/06/2024,871230000
08/06/2024,832750000
09/06/2024,833650000
10/06/2024,848190000
11/06/2024,816500000
12/06/2024,754160000
13/06/2024,757440000
14/06/2024,728510000
15/06/2024,739050000
16/06/2024,753140000
17/06/2024,766780000
18/06/2024,1560000000
19/06/2024,1560000000
20/06/2024,1580000000
21/06/2024,1300000000
22/06/2024,1390000000
23/06/2024,1380000000
24/06/2024,1300000000
25/06/2024,1290000000
26/06/2024,1290000000
27/06/2024,1240000000
28/06/2024,1250000000
29/06/2024,1220000000
30/06/2024,1240000000
01/07/2024,1300000000
02/07/2024,1320000000
03/07/2024,1320000000
04/07/2024,1300000000
05/07/2024,1100000000
06/07/2024,1100000000
07/07/2024,1170000000
08/07/2024,1080000000
09/07/2024,1090000000
10/07/2024,1110000000
11/07/2024,1170000000
12/07/2024,1130000000
13/07/2024,1140000000
14/07/2024,1160000000
15/07/2024,1190000000
16/07/2024,1260000000
17/07/2024,1240000000
