Date,Volume
01/01/2024,335440000
02/01/2024,474600000
03/01/2024,529840000
04/01/2024,426050000
05/01/2024,390620000
06/01/2024,380060000
07/01/2024,286940000
08/01/2024,463020000
09/01/2024,496780000
10/01/2024,547340000
11/01/2024,541710000
12/01/2024,621560000
13/01/2024,445630000
14/01/2024,504170000
15/01/2024,425870000
16/01/2024,374440000
17/01/2024,608980000
18/01/2024,689840000
19/01/2024,551450000
20/01/2024,466810000
21/01/2024,424110000
22/01/2024,578630000
23/01/2024,552170000
24/01/2024,486620000
25/01/2024,409830000
26/01/2024,516350000
27/01/2024,427450000
28/01/2024,553380000
29/01/2024,630950000
30/01/2024,661830000
31/01/2024,1229000000
01/02/2024,851820000
02/02/2024,626230000
03/02/2024,425530000
04/02/2024,443180000
05/02/2024,478380000
06/02/2024,391310000
07/02/2024,575350000
08/02/2024,575350000
09/02/2024,580010000
10/02/2024,440290000
11/02/2024,340090000
12/02/2024,518210000
13/02/2024,524190000
14/02/2024,522410000
15/02/2024,578940000
16/02/2024,499720000
17/02/2024,374920000
18/02/2024,412320000
19/02/2024,424450000
20/02/2024,364680000
21/02/2024,269500000
22/02/2024,226600000
23/02/2024,276340000
24/02/2024,245820000
25/02/2024,196580000
26/02/2024,313050000
27/02/2024,431310000
28/02/2024,1061000000
29/02/2024,1353000000
01/03/2024,1323000000
