Date,Volume
07/08/2023,18350000
08/08/2023,19950000
09/08/2023,17800000
10/08/2023,20600000
11/08/2023,11740000
12/08/2023,7950000
14/08/2023,14430000
15/08/2023,14980000
16/08/2023,18100000
17/08/2023,48880000
18/08/2023,34270000
19/08/2023,19300000
20/08/2023,12540000
21/08/2023,15620000
22/08/2023,21760000
23/08/2023,20330000
24/08/2023,12830000
25/08/2023,14400000
26/08/2023,7770000
27/08/2023,6710000
28/08/2023,13950000
29/08/2023,26540000
30/08/2023,13310000
31/08/2023,23470000
01/09/2023,17080000
02/09/2023,8460000
03/09/2023,7150000
04/09/2023,10130000
05/09/2023,9890000
06/09/2023,19410000
07/09/2023,29510000
08/09/2023,10600000
09/09/2023,7690000
10/09/2023,9680000
11/09/2023,18590000
12/09/2023,17700000
13/09/2023,15110000
14/09/2023,17170000
15/09/2023,15580000
16/09/2023,9720000
17/09/2023,10150000
18/09/2023,16820000
19/09/2023,16060000
20/09/2023,12940000
21/09/2023,12840000
22/09/2023,9930000
23/09/2023,7860000
24/09/2023,10220000
25/09/2023,13750000
26/09/2023,14030000
27/09/2023,17670000
28/09/2023,25320000
29/09/2023,19510000
30/09/2023,13720000
01/10/2023,22430000
02/10/2023,31260000
03/10/2023,16500000
05/10/2023,16810000
06/10/2023,18920000
07/10/2023,92500000
08/10/2023,13840000
