Date,MCt
01/01/2023,796000000000
03/01/2023,806000000000
07/01/2023,825000000000
09/01/2023,837000000000
11/01/2023,858000000000
13/01/2023,906000000000
15/01/2023,985000000000
17/01/2023,990000000000
19/01/2023,961000000000
21/01/2023,1040000000000
23/01/2023,1040000000000
25/01/2023,1020000000000
27/01/2023,1050000000000
29/01/2023,1050000000000
31/01/2023,1040000000000
02/02/2023,1080000000000
04/02/2023,1090000000000
06/02/2023,1070000000000
08/02/2023,1090000000000
10/02/2023,1020000000000
12/02/2023,1020000000000
14/02/2023,1010000000000
16/02/2023,1100000000000
18/02/2023,1110000000000
20/02/2023,1110000000000
22/02/2023,1110000000000
24/02/2023,1090000000000
26/02/2023,1060000000000
28/02/2023,1070000000000
02/03/2023,1080000000000
04/03/2023,1030000000000
06/03/2023,1020000000000
08/03/2023,1020000000000
10/03/2023,944000000000
12/03/2023,952000000000
14/03/2023,1070000000000
16/03/2023,1060000000000
18/03/2023,1170000000000
20/03/2023,1180000000000
22/03/2023,1180000000000
24/03/2023,1190000000000
26/03/2023,1150000000000
28/03/2023,1130000000000
30/03/2023,1180000000000
01/04/2023,1190000000000
03/04/2023,1170000000000
05/04/2023,1190000000000
07/04/2023,1180000000000
09/04/2023,1180000000000
11/04/2023,1220000000000
13/04/2023,1230000000000
15/04/2023,1280000000000
17/04/2023,1280000000000
19/04/2023,1280000000000
21/04/2023,1190000000000
23/04/2023,1170000000000
25/04/2023,1160000000000
27/04/2023,1180000000000
29/04/2023,1210000000000
01/05/2023,1200000000000
03/05/2023,1180000000000
05/05/2023,1190000000000
07/05/2023,1190000000000
09/05/2023,1140000000000
11/05/2023,1140000000000
13/05/2023,1120000000000
15/05/2023,1130000000000
17/05/2023,1130000000000
19/05/2023,1120000000000
21/05/2023,1130000000000
23/05/2023,1120000000000
25/05/2023,1110000000000
27/05/2023,1120000000000
29/05/2023,1170000000000
31/05/2023,1160000000000
02/06/2023,1130000000000
04/06/2023,1140000000000
06/06/2023,1090000000000
08/06/2023,1100000000000
10/06/2023,1100000000000
12/06/2023,1060000000000
14/06/2023,1060000000000
16/06/2023,1040000000000
18/06/2023,1070000000000
20/06/2023,1080000000000
22/06/2023,1170000000000
24/06/2023,1190000000000
26/06/2023,1190000000000
28/06/2023,1190000000000
30/06/2023,1170000000000
02/07/2023,1200000000000
04/07/2023,1220000000000
06/07/2023,1190000000000
08/07/2023,1180000000000
10/07/2023,1170000000000
12/07/2023,1190000000000
14/07/2023,1260000000000
16/07/2023,1210000000000
18/07/2023,1210000000000
20/07/2023,1200000000000
22/07/2023,1200000000000
24/07/2023,1200000000000
26/07/2023,1180000000000
28/07/2023,1180000000000
30/07/2023,1190000000000
01/08/2023,1180000000000
03/08/2023,1170000000000
05/08/2023,1160000000000
07/08/2023,1160000000000
09/08/2023,1180000000000
11/08/2023,1170000000000
13/08/2023,1170000000000
15/08/2023,1170000000000
17/08/2023,1140000000000
19/08/2023,1050000000000
21/08/2023,1060000000000
23/08/2023,1050000000000
25/08/2023,1050000000000
27/08/2023,1050000000000
29/08/2023,1050000000000
31/08/2023,1090000000000
02/09/2023,1040000000000
04/09/2023,1040000000000
06/09/2023,1040000000000
08/09/2023,1050000000000
10/09/2023,1040000000000
12/09/2023,1010000000000
14/09/2023,1040000000000
16/09/2023,1060000000000
18/09/2023,1050000000000
20/09/2023,1080000000000
22/09/2023,1050000000000
24/09/2023,1050000000000
26/09/2023,1050000000000
28/09/2023,1050000000000
30/09/2023,1070000000000
02/10/2023,1110000000000
04/10/2023,1090000000000
06/10/2023,1080000000000
08/10/2023,1090000000000
10/10/2023,1070000000000
12/10/2023,1050000000000
14/10/2023,1050000000000
16/10/2023,1060000000000
18/10/2023,1090000000000
20/10/2023,1090000000000
22/10/2023,1140000000000
24/10/2023,1230000000000
26/10/2023,1260000000000
28/10/2023,1250000000000
30/10/2023,1270000000000
01/11/2023,1280000000000
03/11/2023,1290000000000
05/11/2023,1310000000000
07/11/2023,1330000000000
09/11/2023,1350000000000
11/11/2023,1420000000000
13/11/2023,1420000000000
15/11/2023,1360000000000
17/11/2023,1380000000000
19/11/2023,1390000000000
21/11/2023,1420000000000
23/11/2023,1420000000000
25/11/2023,1430000000000
27/11/2023,1430000000000
29/11/2023,1420000000000
01/12/2023,1420000000000
03/12/2023,1490000000000
05/12/2023,1550000000000
07/12/2023,1590000000000
09/12/2023,1640000000000
11/12/2023,1640000000000
13/12/2023,1560000000000
15/12/2023,1630000000000
17/12/2023,1600000000000
19/12/2023,1600000000000
21/12/2023,1630000000000
23/12/2023,1680000000000
25/12/2023,1660000000000
27/12/2023,1650000000000
29/12/2023,1670000000000
31/12/2023,1650000000000
02/01/2024,1710000000000
04/01/2024,1640000000000
06/01/2024,1670000000000
08/01/2024,1640000000000
10/01/2024,1710000000000
12/01/2024,1770000000000
14/01/2024,1690000000000
16/01/2024,1670000000000
18/01/2024,1680000000000
20/01/2024,1640000000000
22/01/2024,1630000000000
24/01/2024,1550000000000
26/01/2024,1550000000000
28/01/2024,1620000000000
30/01/2024,1660000000000
01/02/2024,1630000000000
03/02/2024,1650000000000
05/02/2024,1630000000000
07/02/2024,1660000000000
09/02/2024,1720000000000
11/02/2024,1800000000000
13/02/2024,1870000000000
15/02/2024,1940000000000
17/02/2024,1950000000000
19/02/2024,1970000000000
21/02/2024,1990000000000
23/02/2024,1960000000000
25/02/2024,1980000000000
27/02/2024,2080000000000
29/02/2024,2290000000000
02/03/2024,2330000000000
04/03/2024,2380000000000
06/03/2024,2380000000000
08/03/2024,2540000000000
10/03/2024,2600000000000
12/03/2024,2720000000000
14/03/2024,2770000000000
16/03/2024,2640000000000
18/03/2024,2590000000000
20/03/2024,2330000000000
22/03/2024,2490000000000
24/03/2024,2440000000000
26/03/2024,2640000000000
28/03/2024,2610000000000
30/03/2024,2640000000000
01/04/2024,2700000000000
03/04/2024,2470000000000
05/04/2024,2550000000000
07/04/2024,2570000000000
09/04/2024,2690000000000
11/04/2024,2630000000000
13/04/2024,2450000000000
15/04/2024,2390000000000
17/04/2024,2310000000000
19/04/2024,2310000000000
21/04/2024,2390000000000
23/04/2024,2450000000000
25/04/2024,2370000000000
27/04/2024,2350000000000
29/04/2024,2350000000000
01/05/2024,2230000000000
03/05/2024,2210000000000
05/05/2024,2350000000000
07/05/2024,2330000000000
09/05/2024,2260000000000
11/05/2024,2250000000000
13/05/2024,2260000000000
15/05/2024,2240000000000
17/05/2024,2360000000000
19/05/2024,2430000000000
21/05/2024,2620000000000
23/05/2024,2570000000000
25/05/2024,2550000000000
27/05/2024,2560000000000
29/05/2024,2570000000000
31/05/2024,2540000000000
02/06/2024,2530000000000
04/06/2024,2550000000000
06/06/2024,2640000000000
08/06/2024,2550000000000
10/06/2024,2550000000000
12/06/2024,2440000000000
14/06/2024,2420000000000
16/06/2024,2420000000000
18/06/2024,2400000000000
20/06/2024,2370000000000
22/06/2024,2340000000000
24/06/2024,2300000000000
26/06/2024,2280000000000
28/06/2024,2290000000000
30/06/2024,2250000000000
02/07/2024,2310000000000
04/07/2024,2220000000000
06/07/2024,2070000000000
08/07/2024,2040000000000
10/07/2024,2130000000000
12/07/2024,2120000000000
14/07/2024,2180000000000
16/07/2024,2380000000000
18/07/2024,2350000000000
20/07/2024,2430000000000
22/07/2024,2480000000000
24/07/2024,2400000000000
26/07/2024,2350000000000
28/07/2024,2420000000000
30/07/2024,2400000000000
01/08/2024,2330000000000
03/08/2024,2190000000000
05/08/2024,2050000000000
07/08/2024,1980000000000
09/08/2024,2160000000000
11/08/2024,2130000000000
13/08/2024,2100000000000
15/08/2024,2080000000000
17/08/2024,2070000000000
19/08/2024,2070000000000
21/08/2024,2090000000000
23/08/2024,2140000000000
