protocol,α0 or β0 or γ0 (Intercept),α1 or β1 or γ1 (T),α2 or β2 or γ2 (X),α3 or β3 or γ3 (X*T),α4 or β4 or γ4 (t),α5 or β5 or γ5 (t*X),δ (MCt),S&P 500,p_value (X),p_value (X*T),p_value (MCt),p_value (S&P 500),airdrop_date
Starknet,-621265.370999549,9813768.937916998,-117618.99584318686,4853655.86152094,-9445091.324000854,1207466.990326189,-1.3289967192810231e-05,74300.26760485981,2.735252069444633e-07,8.898917076920387e-14,0.43873254828290653,0.2433325808201597,2024-02-20
Taiko,-29904.526487518364,586086.81089573,3208.869007735211,-148765.11511107156,-340953.7538928161,-49290.175870252,4.1802884198651654e-06,3038.0376793170417,0.4402565110552118,0.17342750463470016,0.0514648241331898,0.4773665339391022,2024-07-05
ethena,10326442.219686685,-143572916.09474617,1528751.8496299828,-34306236.2324631,176546864.14647758,13085071.106041785,2.669351286986333e-05,-760701.8413727584,3.3056697072619683e-13,4.4001465328852476e-10,0.8264910486159658,0.01059524310193689,2024-04-02
ether,8398704.848866202,-115057463.88608193,575944.6947507703,-9295144.824175298,145302498.0834303,8559140.71252416,0.001037316654311436,-884130.7820424275,0.07536611854335441,0.26768746592850384,1.01151521235717e-05,0.09785860146519186,2024-03-18
renzo,-7179456.595043449,150711325.91340923,2973021.4021840105,-91518993.49876782,-71851936.0326804,644669.9681404196,0.0009321545197469378,659308.9136517359,4.8331031463486135e-14,1.556912892222902e-15,1.3465359997119155e-07,0.09975496733672375,2024-04-20
eigenlayer,63680294.224321365,-933723908.2089853,1626454.8610770162,-35423017.14297283,1040365650.9453871,14997083.550887596,0.009442884826836032,-7727355.10816161,0.17944796967484944,0.29974003652963643,1.4730145134871e-15,5.495476805786301e-06,2024-04-29
kamino,-765148.914145371,25018960.90518345,204286.6326858098,-15837168.266004737,1299331.2614217252,-9504282.652759722,0.0004167410610926087,46338.29903248022,0.051847641806257894,2.7986824046811223e-07,9.674587064495389e-06,0.795034946121139,2024-04-04
Manta,2523454.7928396687,-38496252.1726568,-385359.0793975995,12892166.93735119,39729599.608812496,946035.476132654,6.822346360241477e-05,-281499.36785413197,2.734826406934688e-11,6.70869657198469e-15,0.424334354941193,0.006275899849361651,2023-12-19
nftperp,-16993.919156063635,215206.11750334682,-3531.941827016574,92748.84251705173,-311605.610732549,-16741.354119660205,2.0073012104483627e-06,1342.9979834216224,0.004011315883158015,0.0021755672660615055,0.057312548783410557,0.4552192441623818,2024-06-26
parcl,-1930748.9256403209,29928981.151825745,29273.859422684494,-2078785.5347541035,-29924257.734897543,-1171295.8926134882,1.0037287909288802e-05,207073.54359173274,0.30922676370177943,0.003491066870978452,0.5253239522953894,3.850465609527507e-08,2024-04-16
ekubo,-319027.974013975,4837309.070185488,-7491.098187344949,127858.12752429332,-5052561.0488760425,-104365.9162903417,2.3636732279674268e-05,28530.49435778745,0.19497726679253333,0.3860074756658797,9.082289743056772e-06,0.00020613340577814776,2024-05-08
Arbitrum,-7536298.283097336,116459594.74413264,766108.1784374504,-14377893.429382099,-117165726.36651729,9371460.102345694,0.0008352877294300333,1153025.4336460887,7.979676454112606e-11,5.646324118033661e-07,1.3902005164470409e-05,1.6753724456442914e-06,2023-03-23
Optimism,4270692.303818157,-68792755.36562325,-247798.28992461602,7111964.833391893,63596169.377063066,-569782.1538872346,-3.0211482484752346e-05,-246670.21225406765,1.7050491276675983e-11,8.347069681166957e-14,0.23058284626468567,0.009773826264666725,2024-02-20
zeus-finance,2.1663224944277024,-33.5780087443423,-3.795903424919089e-09,3.3052313952453005e-07,33.57801725816957,2.1267591199247704e-07,1.4527694198163085e-16,-8.289063435640287e-09,0.9869860910513242,0.9573756530143878,0.4538398777169028,0.9836744243505672,2024-04-04
wormhole-portal,-8522228.926823113,143604799.3793062,666313.035059988,-23716921.270825364,-120584415.69741458,-3061217.1841495987,0.0004215064697082667,994653.1086021473,6.208159084433605e-05,7.546479222699643e-07,0.0013117176236993656,0.0006010756242812982,2024-04-03
Sei,280534.76458811417,-4412960.2437044345,8036.650402698957,-141392.97238158016,4283620.00137785,107743.19010268804,3.683313030245e-06,-13148.885164676441,0.322980513195383,0.5220074902883143,0.28357760816696864,0.13443110571257513,2024-07-09
zkSync,912014.6232148428,-15303932.563909948,1339470.00639562,-20696384.84615969,12968536.067907587,20827185.35217923,0.0005240050076893543,-172314.503655034,2.788440685698132e-13,7.529110392283161e-08,0.002653158789702569,0.6741642125808747,2024-06-17
hydro,-241904.9836954386,3421669.673359948,-27612.94918780364,788644.9460885632,-4077387.8565364564,-67356.47873443342,2.6660358005715458e-05,22920.857607288628,0.002812139376242328,0.0007803941077731655,6.899942983657113e-06,0.10767132419377425,2024-03-19
zetamarkets,-144.01601465070138,2050.6064302955347,-8.029488037852213,-454.7667394958089,-2413.79248205989,-703.680868662294,2.1285224536523626e-08,17.3540101235175,0.8442555154543727,0.6558077618546387,0.5412700947091249,0.7673539853208966,2024-06-27
zircuit-staking,3866005.212176984,-50969444.67757279,-541344.9746211739,896267.074563615,68874129.15987703,-15885427.138827825,0.0009830693883811146,-300513.35679965955,0.14947737131051808,0.9263149979424141,0.00025487003306640923,0.37401475333624434,2024-08-05
drift,-690025.1980540124,10962492.941678103,44303.53588669989,-661572.7150498303,-10428295.24548477,711836.8974243733,0.00011873501129774042,67622.12288887618,0.16505863992457523,0.43436755832902973,9.084710515910359e-06,0.07898277791677101,2024-05-01
cellana,292543.85907841765,-3579267.0354008344,71541.4121862042,-2231747.7958443332,5489596.977525871,-13964.018037168215,-1.297727489152253e-05,-20090.451847932076,4.3790460139778444e-13,8.226341125041207e-19,0.024279445849288005,0.26439853846446526,2024-02-29
Mode,1105572.1138038149,-18506230.86739344,-160693.31883451296,4381093.906453159,15766514.324161736,-600398.9774549142,0.00011188361278761998,-53628.70442692583,2.709657150036979e-10,7.743640974886821e-11,8.279176000501304e-15,0.015533299694133458,2024-07-05
