protocol,α0 (Intercept),α1 (T),α2 (t),δ (MCt),p_value (T),p_value (t),p_value (MCt),airdrop_date
Starknet,-271970.9633087944,2019842.6148416325,-2331798.0360088944,4.76499172679095e-05,0.4473543150517879,0.4947037261535512,0.09431666248292529,2024-02-20
Taiko,44825.009834662866,-240229.10373690864,476978.053729397,3.317991862856688e-06,0.7609404731436162,0.5272859440853316,0.5409211682073003,2024-07-05
ethena,10344990.160751546,-67765333.98362385,97755405.67751348,-7.376329077728682e-06,6.135274724518494e-05,4.775702297995825e-06,0.9234248732647272,2024-04-02
ether,21255258.37683191,-120710063.70967016,219368771.6121859,-0.00014923528407685487,0.2447665698457161,0.09243816277139628,0.8318549854916544,2024-03-18
renzo,-12756811.96824668,142904830.60737062,-61204754.76609129,0.0017995747573665778,0.01502505685183626,0.18206530081675057,6.473902478448321e-05,2024-04-20
eigenlayer,149119268.9454493,-1133417284.5785341,1252495863.1095715,-0.0018667425999704425,0.0028566807963376737,0.001401690805524311,0.38305009078158114,2024-04-29
kamino,-1946310.6704649776,20411749.92437899,-10729717.027710795,0.0005436889435892129,0.46147060833493403,0.7315350889279932,0.011122111348908226,2024-04-04
Manta,-358512.8494969389,2278044.364091311,-3458141.5848706774,4.374295879899468e-05,0.3179206078109357,0.15815089834440613,0.07741439507407788,2023-12-19
nftperp,-66595.0768197329,475243.6243406711,-590310.523160927,4.870800420926593e-06,0.6753817271642724,0.5710445253357195,0.5079030443420438,2024-06-26
parcl,426690.2740793478,-5088608.377968645,1738425.6757471329,4.462474688443375e-05,0.1260089563547517,0.5636230350569109,0.03561199287374536,2024-04-16
ekubo,31022.44683555467,-50583.283846793696,445793.3977837879,1.7598168792049555e-05,0.952905858887527,0.5780725079403551,0.008429150743784787,2024-05-08
Arbitrum,-3780548.9014734626,21216718.85775137,-39272374.07533604,0.0021121421359236382,0.5341296597665111,0.38406654981346156,0.003291525061162664,2023-03-23
Optimism,-1069236.4658545703,579781.712143898,-16528416.54503584,0.0004744451551736868,0.982870041832518,0.6361784542891102,0.10410463292424187,2024-02-20
zeus-finance,8.08567806533565,-64.68641776704337,64.68647498540338,-3.147902644856332e-15,2.2555217925874586e-39,1.0725645839727402e-38,0.9714066474167993,2024-04-04
wormhole-portal,11313538.679480445,-72217449.36795929,108803585.82016172,0.00035026000406608105,0.07472663610416852,0.024705587946627045,0.18703586621402238,2024-04-03
Sei,545249.6090488972,-4361935.05037256,4361938.754377789,2.241334161487646e-10,4.44975711103886e-38,1.0735987156550363e-38,0.9766230082864098,2024-07-09
zkSync,-2487987.137658894,16996776.113350272,-22811423.909532428,0.00045257371530748914,0.16006145470084737,0.05104012368944605,3.072790156888214e-05,2024-06-17
hydro,-27221.001293364912,157752.82415558957,-277787.5737873055,2.613870960320165e-05,0.9253636662165199,0.8879442153225394,0.03741628212048279,2024-03-19
zetamarkets,410.3788943663967,-3724.225726451201,2841.9259428228543,9.691352369610513e-09,0.9618373170652359,0.9684876845231143,0.9847760390949686,2024-06-27
zircuit-staking,406976.50353886187,-6378123.205056548,133364.5328179598,0.0011519045352026995,0.8850923479882198,0.9973239995041326,0.0013993501847136215,2024-08-05
drift,-1490572.5080177514,12873528.662521772,-10975704.137369528,0.00020704680430219126,0.33166761055549643,0.4110708505885733,0.035367633035802516,2024-05-01
cellana,501382.5028099641,-2886918.2802079506,5135315.953247014,-1.794650629121961e-05,0.3416500175713505,0.12908702988934348,0.4825624816915627,2024-02-29
Mode,-90024.93149698526,-471648.4832429588,-1912061.4720492214,0.00021153512093685125,0.9685268773539619,0.8662645001922976,0.02137292561014107,2024-07-05
